City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Inhambane,MZ,2022-06-06 17:16:00,-23.865,35.3833,68.72,66,41,13.58
93,Saint-Philippe,RE,2022-06-06 17:14:56,-21.3585,55.7679,74.79,79,39,8.61
94,Havoysund,NO,2022-06-06 17:17:00,70.9963,24.6622,48.43,58,19,18.95
95,Zhangjiakou,CN,2022-06-06 17:17:00,40.81,114.8794,59.85,41,2,4.61
96,Nanortalik,GL,2022-06-06 17:17:01,60.1432,-45.2371,40.98,79,100,1.19
97,Godo,JP,2022-06-06 17:17:01,35.4167,136.6,66.97,100,94,4.25
98,Torbay,CA,2022-06-06 17:15:05,47.6666,-52.7314,57.27,63,75,10.76
99,Rikitea,PF,2022-06-06 17:17:01,-23.1203,-134.9692,72.54,71,93,19.22
100,Curup,ID,2022-06-06 17:17:02,-3.4667,102.5333,68.49,97,100,1.79
101,Hilo,US,2022-06-06 17:17:02,19.7297,-155.09,85.28,78,0,8.05
102,Alvorada,BR,2022-06-06 17:17:03,-12.48,-49.1247,91.74,25,0,6.73
103,Camacha,PT,2022-06-06 17:17:03,33.0833,-16.3333,67.42,73,75,12.66
104,Faanui,PF,2022-06-06 17:17:03,-16.4833,-151.75,80.83,72,15,17.78
105,Mayo,US,2022-06-06 17:13:43,38.8876,-76.5119,83.66,40,0,12.66
106,Villa Maria,AR,2022-06-06 17:13:07,-32.4075,-63.2402,65.82,53,0,3.29
107,Luau,AO,2022-06-06 17:17:04,-10.7073,22.2247,65.03,37,14,5.17
108,Gazanjyk,TM,2022-06-06 17:17:04,39.2446,55.5154,94.23,9,0,9.6
109,Maceio,BR,2022-06-06 17:13:47,-9.6658,-35.7353,80.04,69,75,16.11
110,Korla,CN,2022-06-06 17:17:05,41.7597,86.1469,80.24,11,100,3.69
111,Moose Factory,CA,2022-06-06 17:17:05,51.2585,-80.6094,66.2,63,75,8.05
112,Opuwo,NA,2022-06-06 17:17:05,-18.0607,13.84,64.78,31,19,8.72
113,Penticton,CA,2022-06-06 17:14:20,49.4806,-119.5858,66.58,51,46,2.66
114,Artigas,UY,2022-06-06 17:17:06,-30.4,-56.4667,58.19,93,100,7.72
115,Mecca,SA,2022-06-06 17:15:34,21.4267,39.8261,93.96,25,5,7.2
116,Broome,US,2022-06-06 17:17:06,42.2506,-75.833,80.02,44,0,10.36
117,Nikolskoye,RU,2022-06-06 17:17:07,59.7035,30.7861,58.91,53,5,5.79
118,Maniitsoq,GL,2022-06-06 17:17:07,65.4167,-52.9,43.16,58,0,17.31
119,Kulhudhuffushi,MV,2022-06-06 17:17:07,6.6221,73.07,82.72,79,100,14.27
120,Mizdah,LY,2022-06-06 17:17:08,31.4451,12.9801,97.59,13,0,11.65
121,Hervey Bay,AU,2022-06-06 17:17:08,-25.2986,152.8535,59.92,66,37,10.58
122,Katsuura,JP,2022-06-06 17:16:58,35.1333,140.3,63.57,91,100,20.11
123,Norman Wells,CA,2022-06-06 17:17:08,65.282,-126.8329,50.04,71,75,11.5
124,Araouane,ML,2022-06-06 17:17:09,18.9048,-3.5265,109.45,5,0,10.54
125,Rorvik,NO,2022-06-06 17:17:09,64.8621,11.2373,55.38,62,0,14.97
126,Lagoa,PT,2022-06-06 17:16:20,39.05,-27.9833,65.07,93,99,22.64
127,Constitucion,CL,2022-06-06 17:17:09,-35.3333,-72.4167,58.75,74,49,4.5
128,Ixtapa,MX,2022-06-06 17:17:10,20.7,-105.2,81.63,69,0,9.22
129,Byron Bay,AU,2022-06-06 17:17:10,-28.65,153.6167,52.84,62,39,10.4
130,Dombarovskiy,RU,2022-06-06 17:17:10,50.7587,59.5386,70.77,52,78,21.41
131,Bathsheba,BB,2022-06-06 17:17:11,13.2167,-59.5167,88.41,66,40,24.16
132,Antalaha,MG,2022-06-06 17:17:11,-14.9003,50.2788,71.02,84,79,9.24
133,Kiama,AU,2022-06-06 17:17:12,-34.6833,150.8667,52.45,64,9,13.0
134,Khatanga,RU,2022-06-06 17:17:12,71.9667,102.5,37.78,91,27,5.41
135,Vestmannaeyjar,IS,2022-06-06 17:17:13,63.4427,-20.2734,52.79,87,75,16.11
136,San Patricio,US,2022-06-06 17:17:13,28.017,-97.5169,93.92,39,6,18.86
137,Mar Del Plata,AR,2022-06-06 17:15:40,-38.0023,-57.5575,64.42,60,0,8.05
138,Diamantino,BR,2022-06-06 17:17:14,-14.4086,-56.4461,93.34,29,11,8.19
139,Omboue,GA,2022-06-06 17:17:14,-1.5746,9.2618,76.78,80,61,8.59
140,Severo-Kurilsk,RU,2022-06-06 17:17:14,50.6789,156.125,42.46,90,100,6.85
141,Markova,UA,2022-06-06 17:18:15,48.6758,24.4138,64.22,72,16,7.63
142,Alofi,NU,2022-06-06 17:18:15,-19.0595,-169.9187,71.49,94,100,5.75
143,Ponta Do Sol,PT,2022-06-06 17:17:42,32.6667,-17.1,76.01,79,45,0.36
144,Sinnamary,GF,2022-06-06 17:18:15,5.3833,-52.95,78.4,86,100,5.95
145,Bay Roberts,CA,2022-06-06 17:18:16,47.5999,-53.2648,62.35,56,94,5.99
146,Pontianak,ID,2022-06-06 17:18:16,-0.0333,109.3333,76.98,100,27,2.3
147,Shakawe,BW,2022-06-06 17:18:17,-18.3667,21.85,60.37,34,82,6.42
148,Hermanus,ZA,2022-06-06 17:18:17,-34.4187,19.2345,66.34,42,2,5.75
149,Cayenne,GF,2022-06-06 17:16:03,4.9333,-52.3333,75.24,1,75,2.3
150,Ihosy,MG,2022-06-06 17:18:17,-22.4,46.1167,60.13,92,31,12.8
151,Flinders,AU,2022-06-06 17:18:18,-34.5833,150.8552,52.25,65,12,8.99
152,Manama,BH,2022-06-06 17:18:18,26.2154,50.5832,93.38,49,0,4.61
153,Gerash,IR,2022-06-06 17:18:18,27.6652,54.1371,91.54,16,9,6.67
154,Chokwe,MZ,2022-06-06 17:18:19,-24.5333,32.9833,62.69,74,11,5.93
155,Penzance,GB,2022-06-06 17:18:19,50.1186,-5.5371,60.12,94,40,14.97
156,Chama,CH,2022-06-06 17:18:19,47.1821,8.4636,76.28,67,75,4.61
157,Arraial Do Cabo,BR,2022-06-06 17:18:20,-22.9661,-42.0278,78.76,47,0,14.97
158,Puerto Ayora,EC,2022-06-06 17:18:20,-0.7393,-90.3518,76.96,87,62,4.0
159,Marzuq,YE,2022-06-06 17:18:20,14.4,46.4667,81.1,45,98,8.23
160,Tuktoyaktuk,CA,2022-06-06 17:18:21,69.4541,-133.0374,28.4,80,75,11.5
161,Yar-Sale,RU,2022-06-06 17:18:21,66.8333,70.8333,42.84,63,96,9.98
162,Mahebourg,MU,2022-06-06 17:18:21,-20.4081,57.7,71.89,83,40,2.3
163,Pathein,MM,2022-06-06 17:18:22,16.7833,94.7333,77.72,90,100,6.33
164,Nyurba,RU,2022-06-06 17:18:22,63.2842,118.3319,51.87,96,43,3.87
165,Mangrol,IN,2022-06-06 17:18:23,21.1167,70.1167,83.01,83,86,9.13
166,Hohhot,CN,2022-06-06 17:18:23,40.8106,111.6522,61.09,33,0,8.95
167,Tazmalt,DZ,2022-06-06 17:18:23,36.3868,4.3989,96.24,26,89,8.61
168,Loiza,PR,2022-06-06 17:18:23,18.4313,-65.8802,92.44,55,40,18.41
169,Umm Kaddadah,SD,2022-06-06 17:18:24,13.6017,26.6876,93.96,10,2,10.4
170,Velyka Oleksandrivka,UA,2022-06-06 17:18:24,47.3197,33.3037,68.27,56,81,9.24
171,Salta,AR,2022-06-06 17:16:34,-24.7859,-65.4117,70.57,46,20,5.01
172,Chapais,CA,2022-06-06 17:18:25,49.7834,-74.8492,62.38,43,56,3.85
173,Brigantine,US,2022-06-06 17:18:25,39.4101,-74.3646,82.2,41,0,8.05
174,Pangnirtung,CA,2022-06-06 17:18:25,66.1451,-65.7125,42.8,75,20,12.66
175,Aklavik,CA,2022-06-06 17:18:26,68.2191,-135.0107,41.27,59,18,7.87
176,Riyadh,SA,2022-06-06 17:16:28,24.6877,46.7219,96.94,5,29,7.99
177,Ilulissat,GL,2022-06-06 17:18:26,69.2167,-51.1,41.02,42,40,16.11
178,Haines Junction,CA,2022-06-06 17:18:27,60.7522,-137.5108,57.15,58,79,2.3
179,Vardo,NO,2022-06-06 17:18:27,70.3705,31.1107,44.58,81,0,5.75
180,Jacareacanga,BR,2022-06-06 17:18:27,-6.2222,-57.7528,83.95,77,90,1.72
181,Dicabisagan,PH,2022-06-06 17:18:28,17.0818,122.4157,80.04,86,64,4.92
182,Brae,GB,2022-06-06 17:18:28,60.3964,-1.353,55.06,76,33,10.11
183,Durusu,TR,2022-06-06 17:18:28,41.3053,28.6767,69.98,86,71,10.0
184,Geraldton,AU,2022-06-06 17:18:28,-28.7667,114.6,59.41,44,0,14.97
