City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Puerto Escondido,MX,15.85,-97.0667,77.83,73,75,3.44,broken clouds
149,Peski,RU,55.2163,38.7626,66.16,44,11,10.33,few clouds
150,Morgan City,US,29.6994,-91.2068,78.03,100,0,0.0,clear sky
151,Saint George,US,37.1041,-113.5841,74.79,32,0,5.75,clear sky
152,Grand Gaube,MU,-20.0064,57.6608,76.37,71,51,5.99,broken clouds
153,Caravelas,BR,-17.7125,-39.2481,78.03,52,8,2.62,clear sky
154,Nikolskoye,RU,59.7035,30.7861,69.87,28,23,5.5,few clouds
155,Nenjiang,CN,49.1833,125.2167,61.03,53,5,5.17,clear sky
156,Kodiak,US,57.79,-152.4072,49.51,81,100,0.0,overcast clouds
157,Richards Bay,ZA,-28.783,32.0377,71.96,54,0,5.17,clear sky
158,Nadvoitsy,RU,63.8667,34.3167,63.28,38,8,3.62,clear sky
159,Vista Hermosa,MX,19.5167,-99.2167,62.55,50,75,4.61,broken clouds
160,Apastovo,RU,55.2029,48.5109,56.48,81,100,22.17,overcast clouds
161,Pavino,RU,59.1139,46.1414,51.24,68,100,13.67,light rain
162,Touros,BR,-5.1989,-35.4608,83.62,62,100,12.44,overcast clouds
163,Namibe,AO,-15.1961,12.1522,84.38,35,29,10.27,scattered clouds
164,Taoudenni,ML,22.6783,-3.9836,113.4,7,0,17.63,clear sky
165,Lyaskelya,RU,61.7667,31.0167,67.05,36,50,7.34,scattered clouds
166,Hualmay,PE,-11.0964,-77.6139,63.45,85,81,3.56,broken clouds
167,Mbandaka,CD,0.0487,18.2603,84.54,54,91,2.26,overcast clouds
168,Inta,RU,66.0317,60.1659,70.32,25,12,3.49,few clouds
169,East London,ZA,-33.0153,27.9116,74.34,43,0,3.44,clear sky
170,Geraldton,AU,-28.7667,114.6,70.21,35,100,19.57,overcast clouds
171,Manasa,IN,24.4837,75.2687,104.0,13,66,14.67,broken clouds
172,Pisco,PE,-13.7,-76.2167,62.65,88,100,5.75,mist
173,Bilma,NE,18.6853,12.9164,105.13,9,11,11.34,few clouds
174,Cozumel,MX,20.5083,-86.9458,80.94,90,40,5.01,scattered clouds
175,Polunochnoye,RU,60.8697,60.4153,62.19,36,100,10.69,overcast clouds
176,Barrow,US,71.2906,-156.7887,24.82,86,100,13.8,light snow
177,Sibu,MY,2.3,111.8167,79.11,88,40,1.14,scattered clouds
178,Baherden,TM,38.4362,57.4316,104.29,8,91,8.14,overcast clouds
179,Khatanga,RU,71.9667,102.5,55.62,46,98,3.47,overcast clouds
180,Boyolangu,ID,-8.1181,111.8935,77.43,92,100,0.56,light rain
181,Fortuna,US,40.5982,-124.1573,51.66,95,20,6.91,few clouds
182,Amazar,RU,53.858,120.875,65.93,46,71,3.58,broken clouds
183,Pimentel,PE,-6.8367,-79.9342,62.89,77,20,11.5,few clouds
184,Aksarka,RU,66.5606,67.7975,69.21,25,27,11.56,scattered clouds
185,Bluff,NZ,-46.6,168.3333,50.81,74,13,16.28,few clouds
186,Bethel,US,41.3712,-73.414,69.53,64,0,4.61,clear sky
187,Nanga Eboko,CM,4.6833,12.3667,90.27,42,45,2.35,scattered clouds
188,Mabaruma,GY,8.2,-59.7833,75.67,95,100,3.6,overcast clouds
189,Luderitz,NA,-26.6481,15.1594,80.22,24,0,6.73,clear sky
190,Lebu,CL,-37.6167,-73.65,53.55,97,81,8.9,broken clouds
191,Benin,BJ,9.5,2.25,94.41,38,88,2.15,overcast clouds
192,Port Blair,IN,11.6667,92.75,80.64,89,100,5.75,mist
193,Port Alfred,ZA,-33.5906,26.891,70.18,57,7,3.0,clear sky
194,Bonthe,SL,7.5264,-12.505,84.78,62,100,8.72,overcast clouds
195,Mulchen,CL,-37.7167,-72.2333,49.14,94,100,5.86,overcast clouds
196,Kattivakkam,IN,13.2167,80.3167,96.89,57,100,16.49,overcast clouds
197,Cabo San Lucas,MX,22.8909,-109.9124,74.5,55,0,2.3,clear sky
198,Luwuk,ID,-0.9516,122.7875,77.47,88,98,4.05,overcast clouds
