City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
654,Sulejowek,PL,82.72,overcast clouds,52.2522,21.269,Hotel Amigo
656,Pinheiro,BR,84.58,overcast clouds,-2.5214,-45.0825,Solares Hotel
657,Aksu,CN,85.77,clear sky,41.1231,80.2644,Pudong Holiday Hotel
660,Tahta,EG,99.79,clear sky,26.7693,31.5021,فندق الزيات
661,Caiaponia,BR,80.51,overcast clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
666,Hami,CN,82.54,scattered clouds,42.8,93.45,Laoyutang Resort
668,Sherpur,BD,83.61,broken clouds,25.0188,90.0175,জামালপুর মডেল ছাত্রাবাস
671,Porangatu,BR,83.21,clear sky,-13.4408,-49.1486,Wembley Park Hotel
675,Kisangani,CD,83.14,overcast clouds,0.5167,25.2,Grand Ramela Hotel
676,Nisia Floresta,BR,82.78,light rain,-6.0911,-35.2086,Rancho Crepusculo
682,Custoias,PT,80.42,few clouds,41.1053,-7.321,Casa Do Adro / Solar Corte Real - José Carlos Pereira Corte Real
684,Sorong,ID,80.76,broken clouds,-0.8833,131.25,Waigo Splash Hotel
685,Bhum,IN,98.53,scattered clouds,18.4667,75.6667,धनंजय होम
690,Acarau,BR,81.09,broken clouds,-2.8856,-40.12,castelo pizzaria
692,Buala,SB,80.47,light rain,-8.145,159.5921,Maringe Lagoon Lodge
693,Kaniama,CD,85.73,overcast clouds,-7.5667,24.1833,
702,Bardiyah,LY,84.34,clear sky,31.7561,25.0865,بورتو بردية
